Id,Action
1,0.562257077
2,0.992610399
3,0.994088665
4,0.982514689
5,0.998749243
6,0.994618182
7,0.889182505
8,0.999067919
9,0.912591497
10,0.95145655
11,0.948499207
12,0.936932469
13,0.993526018
14,0.444998507
15,0.774986088
16,0.964572971
17,0.177171208
18,0.668121389
19,0.994590759
20,0.996630951
21,0.976905433
22,0.98726242
23,0.998431043
24,0.922200695
25,0.999826601
26,0.92546257
27,0.962847832
28,0.966216448
29,0.991985476
30,0.858501816
31,0.98810477
32,0.987239346
33,0.936318007
34,0.994580792
35,0.982448357
36,0.999880702
37,0.981516434
38,0.999821659
39,0.985716891
40,0.892093955
41,0.606112697
42,0.993134395
43,0.994499427
44,0.961997557
45,0.995900475
46,0.989821336
47,0.997117865
48,0.996096034
49,0.999152791
50,0.976576409
51,0.832372966
52,0.992064099
53,0.928383303
54,0.999994792
55,0.976561027
56,0.98158256
57,0.963629394
58,0.9989181
59,0.99859903
60,0.997076649
61,0.997279677
62,0.98461065
63,0.99818907
64,0.995965214
65,0.995664412
66,0.91132217
67,0.984451812
68,0.997091265
69,0.963451514
70,0.385134347
71,0.966525713
72,0.993089087
73,1
74,0.991319961
75,0.960375906
76,0.996835663
77,0.993929471
78,0.895679583
79,0.484892471
80,0.967462637
81,0.993020085
82,0.981701729
83,0.991330238
84,0.993325909
85,0.993524748
86,0.980262373
87,0.984632311
88,0.99479814
89,0.997043332
90,0.903253198
91,0.996136495
92,0.514914418
93,0.990313798
94,0.943629335
95,0.995184723
96,0.994048213
97,0.288510412
98,0.992841811
99,0.981051297
100,0.995821284
101,0.92289097
102,0.81237495
103,0.978673294
104,0.993033622
105,0.689507634
106,0.982695355
107,0.998918239
108,0.963064521
109,0.994518251
110,0.978787531
111,0.733044692
112,0.982134042
113,0.856658442
114,0.990445179
115,0.98667027
116,0.9319602
117,0.90973958
118,0.998674728
119,0.997110309
120,0.997665328
121,0.93905031
122,0.995568228
123,0.985165309
124,0.993342529
125,0.995832328
126,0.649447895
127,0.826572176
128,0.781183703
129,0.970965869
130,0.988808084
131,0.997780923
132,0.996972732
133,0.969069969
134,0.595091605
135,0.998190389
136,0.959022774
137,0.993344009
138,0.812376442
139,0.971441457
140,0.999028571
141,0.962589319
142,0.992311372
143,0.993382302
144,0.994452064
145,0.998579073
146,0.915167513
147,0.602100976
148,0.547754322
149,0.998879308
150,0.981681076
151,0.994654333
152,0.397418514
153,0.993065056
154,0.89417628
155,0.971377081
156,0.912702624
157,0.992639394
158,0.95143767
159,0.724329992
160,0.968115956
161,0.865492177
162,0.995776173
163,0.997899436
164,0.964312756
165,0.996218041
166,0.998585952
167,0.899685861
168,0.971704034
169,0.983548676
170,0.999854252
171,0.96495025
172,0.994061103
173,0.944625735
174,0.933348708
175,0.992059486
176,0.997697889
177,0.869513138
178,0.990054512
179,0.965119054
180,0.947600276
181,0.864287227
182,0.990808084
183,0.714527264
184,0.908357343
185,0.997273868
186,0.900023234
187,0.994711297
188,0.985663306
189,0.132405228
190,0.988198572
191,0.999353887
192,0.988116297
193,0.99832431
194,0.995321256
195,0.990689169
196,0.998016361
197,0.986727402
198,0.948419971
199,0.996916726
200,0.485823843
201,0.997656565
202,0.950901366
203,0.927244325
204,0.912913573
205,0.940704353
206,0.995919974
207,0.994029579
208,0.968604377
209,0.515414344
210,0.350372079
211,0.877911879
212,0.987806984
213,0.999952679
214,0.978919162
215,0.977743097
216,0.739671244
217,0.914007723
218,0.995232449
219,0.988690365
220,0.915846312
221,0.474307783
222,0.999360408
223,0.9875
224,0.993100288
225,0.925098868
226,0.684940919
227,0.957244123
228,0.984850638
229,0.998046174
230,0.992996402
231,0.971177257
232,0.953560243
233,0.960101839
234,0.013403013
235,0.868487012
236,0.950254097
237,0.954779213
238,0.904432533
239,0.869488513
240,0.99307033
241,0.962322485
242,0.375740367
243,0.632768039
244,0.959655749
245,0.992613589
246,0.98489404
247,0.990850313
248,0.94762446
249,0.9616781
250,0.993502079
251,0.996411991
252,0.486041226
253,0.996
254,0.999966818
255,0.999976353
256,0.969580176
257,0.997783583
258,0.938894302
259,0.950275734
260,0.998559871
261,0.931503496
262,0.962669657
263,0.998535336
264,0.998747341
265,0.998750131
266,0.969383371
267,0.560345799
268,0.998455076
269,0.858985648
270,0.990819209
271,0.99031495
272,0.987382168
273,0.975758542
274,0.3295649
275,0.994451255
276,0.917450503
277,0.993381883
278,0.999
279,0.74388505
280,0.277051678
281,0.998848799
282,0.990795397
283,0.63584818
284,0.861244312
285,0.997507861
286,0.940238713
287,0.997713657
288,0.996523737
289,0.993565163
290,0.999750131
291,0.158545427
292,0.763242818
293,0.99856401
294,0.756650825
295,0.990749539
296,0.376316787
297,0.179571501
298,0.956590343
299,0.472451194
300,0.981112541
301,0.684367315
302,0.998475981
303,0.738586869
304,0.863940752
305,0.988151025
306,0.976683518
307,0.993524748
308,0.999818921
309,0.97272436
310,0.995828633
311,0.991536401
312,0.995943319
313,0.981941132
314,0.996719104
315,0.999973442
316,0.971335125
317,0.730794842
318,0.995686373
319,0.167209465
320,0.98448468
321,0.993179169
322,0.356567514
323,0.999374065
324,0.960387357
325,0.781629514
326,0.732729531
327,0.959207978
328,0.993477488
329,0.995540797
330,0.989540935
331,0.997749011
332,0.955866527
333,0.994709763
334,0.9380099
335,0.996988952
336,0.918337647
337,0.998976744
338,0.987418761
339,0.993766656
340,0.992562271
341,0.9825178
342,0.961991881
343,0.967150557
344,0.998810285
345,0.985787693
346,0.996201052
347,0.979763697
348,0.989398494
349,0.996174527
350,0.64822083
351,0.971928729
352,0.987168072
353,0.99478635
354,0.650991721
355,0.927351112
356,0.990561638
357,0.970429963
358,0.986630293
359,0.951664674
360,0.307462792
361,0.748670523
362,0.944793771
363,0.957841215
364,0.93012601
365,0.996631401
366,0.998012464
367,0.993158485
368,0.997799766
369,0.979778446
370,0.985649103
371,0.990584362
372,0.986723044
373,0.491103598
374,0.057944552
375,0.979759347
376,0.976404385
377,0.857097187
378,0.996041159
379,0.998665688
380,0.85406411
381,0.951545412
382,0.996244332
383,0.99461109
384,0.919635827
385,0.90386432
386,0.96840889
387,0.45033137
388,0.93364134
389,0.978429643
390,0.998966193
391,0.867651284
392,0.910039135
393,0.907910144
394,0.992491674
395,0.948538669
396,0.976297843
397,0.998568068
398,0.974890777
399,0.993816158
400,0.983366647
401,0.997308752
402,0.995028373
403,0.953385172
404,0.969215345
405,0.994314877
406,0.934655326
407,0.84957778
408,0.994486895
409,0.997271443
410,0.999442911
411,0.998124514
412,0.816370653
413,0.904044201
414,0.992598311
415,0.995598167
416,0.847241352
417,0.996833333
418,0.9978017
419,0.979610508
420,0.982543955
421,0.915049116
422,0.9722619
423,0.985053816
424,0.896104566
425,0.998422972
426,0.970066265
427,0.99032141
428,0.96689357
429,0.978572903
430,0.996478283
431,0.969835468
432,0.9956977
433,0.948757329
434,0.926511044
435,0.895468485
436,0.998512945
437,0.995309288
438,0.026814919
439,0.991132054
440,0.285546685
441,0.967767591
442,0.999374065
443,0.972254511
444,0.985671835
445,0.92419519
446,0.991713767
447,0.948353498
448,0.995774411
449,0.98501172
450,0.902258635
451,0.943922789
452,0.976538609
453,0.993918746
454,0.9944202
455,0.990715536
456,0.995957084
457,0.99813418
458,0.995
459,0.997985981
460,0.798857318
461,0.777965174
462,0.999975002
463,0.991241627
464,0.992175876
465,0.987085568
466,0.991991912
467,0.583390901
468,0.983075131
469,0.988825538
470,0.96745166
471,0.958171628
472,0.998524955
473,0.996139741
474,0.968943159
475,0.833003286
476,0.973827154
477,0.989995306
478,0.920144799
479,0.999921932
480,0.999972222
481,0.999
482,0.909835643
483,0.99644192
484,0.878966587
485,0.974326786
486,0.331968453
487,0.971240658
488,0.980306905
489,0.999952064
490,0.973722459
491,0.993491773
492,0.998765502
493,0.989644176
494,0.999807985
495,0.972135492
496,0.968797147
497,0.994759436
498,0.993595029
499,0.999320705
500,0.977177889
501,0.992430765
502,0.974813876
503,0.938347555
504,0.994274704
505,0.915603536
506,0.982706554
507,0.993293727
508,0.990702222
509,0.972445995
510,0.41519786
511,0.982013264
512,0.989018653
513,0.999565981
514,0.466367741
515,0.977483608
516,0.989593701
517,0.995051392
518,0.763113852
519,0.97022881
520,0.958771441
521,0.996721851
522,0.950603448
523,1
524,0.444783995
525,0.377190201
526,0.769325541
527,0.997014492
528,0.997310004
529,0.956868528
530,0.996940374
531,0.977188611
532,0.942431004
533,0.999684982
534,0.969413459
535,0.991125393
536,0.996000006
537,0.982638872
538,0.990935134
539,0.990504757
540,0.705001977
541,0.996165703
542,0.919536289
543,0.415848303
544,0.981242578
545,0.979350776
546,0.985766401
547,0.781674486
548,0.769886132
549,0.737484722
550,0.844023189
551,0.97951533
552,0.85129869
553,0.996676352
554,0.766992817
555,0.996426435
556,0.973722459
557,0.998165778
558,0.882406298
559,0.9454342
560,0.930061351
561,0.983315428
562,0.994653986
563,0.988968734
564,0.485348226
565,0.991938176
566,0.976856742
567,0.987097083
568,0.860552322
569,0.990461161
570,0.987742263
571,0.227383826
572,0.985661438
573,0.857344611
574,0.118871341
575,0.998809889
576,0.997332867
577,0.956789646
578,0.995722479
579,0.792515492
580,0.986531535
581,0.990591912
582,0.872703983
583,0.99466642
584,0.744621141
585,0.982213699
586,0.955756478
587,0.953896872
588,0.994194058
589,0.968540504
590,0.939763867
591,0.973200929
592,0.99998542
593,0.960277038
594,0.943809762
595,0.998678338
596,0.997410719
597,0.991322185
598,0.8826511
599,0.854026426
600,0.853693327
601,0.984609908
602,0.967779161
603,0.997117683
604,0.996142793
605,0.980837051
606,0.974070352
607,0.998280702
608,0.997681128
609,0.868181532
610,0.796694075
611,0.976154206
612,0.996764771
613,0.980198908
614,0.617912043
615,0.986979191
616,0.144138505
617,0.969086256
618,0.978020489
619,0.982182673
620,0.997516269
621,0.989386126
622,0.990393537
623,0.9753739
624,0.834435565
625,0.652843605
626,0.984679129
627,0.994733918
628,0.974589461
629,0.980264282
630,0.998773025
631,0.99886971
632,0.86997696
633,0.998476617
634,0.992107968
635,0.944502734
636,0.981812484
637,0.986360174
638,0.922574206
639,0.967115902
640,0.996322108
641,0.993626568
642,0.978490786
643,0.990460833
644,0.909778168
645,0.98772783
646,0.856476215
647,0.946711201
648,0.860083721
649,0.994965189
650,0.926862145
651,0.980953904
652,0.999990099
653,0.150842121
654,0.970980513
655,0.867126436
656,0.996773868
657,0.944659723
658,0.996883616
659,0.942780283
660,0.983012184
661,0.978713197
662,0.98859969
663,0.996109635
664,0.996719675
665,0.917692691
666,0.675387667
667,0.952043812
668,0.98153126
669,0.590276978
670,0.703782331
671,0.971322076
672,0.95061241
673,0.862145979
674,0.97570851
675,0.974095912
