Id,Action
1,0.04257737
2,0.882256179
3,0.689787038
4,0.483780425
5,0.990078527
6,0.904163308
7,0.856568286
8,0.888777459
9,0.11958924
10,0.730636506
11,0.3749458
12,0.656888266
13,0.331133382
14,0.357612851
15,0.769708515
16,0.887355855
17,0.373076517
18,0.36387186
19,0.776528422
20,0.649708571
21,0.735801461
22,0.742488256
23,0.144247544
24,0.398866628
25,0.314952217
26,0.714041583
27,0.780848677
28,0.155657099
29,0.870231032
30,0.247688638
31,0.759142897
32,0.628189025
33,0.637521259
34,0.888227055
35,0.739923591
36,0.844545134
37,0.779693942
38,0.363278275
39,0.508713487
40,0.108395792
41,0.270037122
42,0.748125562
43,0.356661481
44,0.775409463
45,0.657600795
46,0.438360253
47,0.72032046
48,0.461317953
49,0.86943248
50,0.893089619
51,0.866481104
52,0.808601471
53,0.808053379
54,0.891555422
55,0.405528056
56,0.12532769
57,0.763555491
58,0.981117877
59,0.891956585
60,0.664695829
61,0.77499023
62,0.356145543
63,0.320218321
64,0.801934833
65,0.720908169
66,0.805920209
67,0.37991025
68,0.7262836
69,0.632828755
70,0.290832698
71,0.515781076
72,0.859056602
73,0.704334246
74,0.890161277
75,0.822180101
76,0.917325692
77,0.821718325
78,0.502104424
79,0.434073792
80,0.75231148
81,0.672022216
82,0.725415348
83,0.730210782
84,0.897849031
85,0.281169895
86,0.122554978
87,0.296691092
88,0.712106524
89,0.722588848
90,0.383843135
91,0.718780602
92,0.723880045
93,0.816512818
94,0.322013617
95,0.734533418
96,0.409686593
97,0.239859091
98,0.671682494
99,0.954997118
100,0.723787652
101,0.617243689
102,0.33791794
103,0.694841933
104,0.460296646
105,0.323690678
106,0.861072223
107,0.952814022
108,0.351873405
109,0.885918416
110,0.477063213
111,0.390527952
112,0.776473562
113,0.614038569
114,0.735235725
115,0.829445158
116,0.749869027
117,0.789423393
118,0.687795924
119,0.775146477
120,0.79421615
121,0.88861972
122,0.717455042
123,0.168848275
124,0.731952278
125,0.718612609
126,0.311639855
127,0.085339504
128,0.254741499
129,0.081264653
130,0.559719059
131,0.974903044
132,0.814613193
133,0.568928392
134,0.322173288
135,0.746863839
136,0.254490176
137,0.815734642
138,0.721192635
139,0.241030649
140,0.931544216
141,0.555962357
142,0.131599292
143,0.867330867
144,0.700886437
145,0.919869002
146,0.242296304
147,0.11084066
148,0.442208395
149,0.915443609
150,0.758956208
151,0.773698806
152,0.719962665
153,0.705945165
154,0.462115965
155,0.407060813
156,0.722685959
157,0.329867391
158,0.718628756
159,0.812050244
160,0.724133589
161,0.088278128
162,0.949527122
163,0.399509061
164,0.47988162
165,0.454216045
166,0.989982907
167,0.561870654
168,0.637590971
169,0.631933231
170,0.852971685
171,0.774126426
172,0.200945919
173,0.887323374
174,0.743568442
175,0.730897423
176,0.936139795
177,0.459862326
178,0.934150865
179,0.729055572
180,0.11084066
181,0.292213357
182,0.559719059
183,0.874774465
184,0.301098338
185,0.830349944
186,0.212760668
187,0.833915972
188,0.359338294
189,0.285530914
190,0.653012808
191,0.95364569
192,0.413094009
193,0.987287197
194,0.773901157
195,0.740006231
196,0.991157699
197,0.721118326
198,0.671040737
199,0.809938784
200,0.100435865
201,0.61081729
202,0.334258036
203,0.341106628
204,0.54299594
205,0.778874254
206,0.731212997
207,0.814434157
208,0.635071975
209,0.162651203
210,0.676537804
211,0.754326439
212,0.403963868
213,0.957407012
214,0.352476581
215,0.682512351
216,0.649367953
217,0.59355747
218,0.906109319
219,0.571111314
